Clean_Text,Emotion
got selected international academic program,Joy
campus job interview went perfectly,Joy
angry university system sri lanka,Angry
got enraged group conflict,Angry
academic advisor belief potential,Joy
copied full assignment,Angry
afford next semester,Fear
afraid academic probation,Fear
could attend vesak celebration,Sad
fear making fool,Fear
submitted critical review,Neutral
academic future requires major reconsideration,Sad
went study area study,Neutral
worried failing expectation,Fear
research finding revolutionizing human knowledge,Joy
got recommendation prestigious internship,Joy
nervous exam result,Fear
campus food service quality declined drastically,Angry
worried chemistry lab safety,Fear
submitted comparative analysis,Neutral
afraid disappointing mentor,Fear
research project completely discredited,Sad
happy code worked lab,Joy
professor questioned data analysis,Sad
experiment worked perfectly lab,Joy
fear wonot finish project time,Fear
filled course evaluation form,Neutral
bus campus arrives minute,Neutral
worry upcoming exam,Fear
sure pas final project,Fear
missed bus night class,Sad
research presentation received standing ovation,Joy
laptop crashed lost assignment,Sad
everything unfair,Angry
thesis proposal got rejected,Sad
professor questioned academic commitment,Sad
finished morning lecture,Neutral
balance academic social life,Sad
completed inferential research,Neutral
got invited present conference,Joy
campus newspaper published today,Neutral
got selected academic advisory committee,Joy
worried plagiarism accusation,Fear
scared group conflict,Fear
passed subject,Joy
academic network facilitating career advancement,Joy
today going meet family,Joy
missed bus colombo trip,Sad
exam season ready yet,Fear
result low,Sad
took great photo campus park,Joy
complete assignment due illness,Sad
startup got accepted accelerator program,Joy
completed bibliometric analysis,Neutral
failed project viva,Sad
failed comprehensive exam,Sad
felt frustrated project obstacle,Angry
worried student loan debt,Fear
felt insulted peer feedback,Angry
attended morning lecture usual,Neutral
happy rajarata uni student,Joy
worried fail organic chemistry,Fear
worried impostor syndrome,Fear
classmate ridiculed suggestion,Angry
classmate challenged aggressively,Angry
reviewed theoretical model,Neutral
completed community research,Neutral
professor offered position visionary leader,Joy
academic mentor expressed serious doubt,Sad
worried standardized test score,Fear
get research position applied,Sad
classmate took advantage effort,Angry
academic goal seem impossible achieve,Sad
got excluded honor recognition,Sad
got frustrated administrative delay,Angry
stressed final project,Fear
sad see,Sad
attended academic conference,Neutral
met rude friend univeristy,Sad
missed bus home,Sad
afraid failing internship,Fear
research idea accepted,Joy
attended department meeting,Neutral
today free day,Neutral
scared professional school admission,Fear
missed time spent together,Sad
worried research success,Fear
lost one friend,Sad
club meeting full laughter,Joy
chose wrong university,Fear
attended writing center appointment,Neutral
campus dining hour ridiculously limited,Angry
hate work load much handle,Angry
lecturer ignores question purpose,Angry
workd hard archieved target,Sad
got dropped advanced course,Sad
afraid failing program requirement,Fear
scared misunderstanding lecture material,Fear
afraid criticism,Fear
handle pressure,Fear
completed theoretical research,Neutral
professor said bright future,Joy
fail final exam,Fear
went group discussion,Neutral
academic achievement recognized university,Joy
worried career path uncertainty,Fear
anxious meeting advisor,Fear
professor expressed complete disappointment,Sad
roommate,Neutral
lecturer questioned academic ability,Sad
front applied building,Neutral
felt angered department decision,Angry
worried professional networking,Fear
academic achievement feel increasingly empty,Sad
vacation starting tommorow,Joy
worried failing assignment,Fear
passed semester exam first attempt,Joy
lab equipment always broken,Angry
thesis advisor leaving university,Sad
academic excellence award,Joy
scared competitive internship process,Fear
got first statistic,Joy
ac isnot working hall,Neutral
research project abandoned committee,Sad
instructor criticized teamwork,Angry
changed plan without telling,Angry
studying rajarata univeristy sri lanka,Neutral
professor offered co teaching opportunity,Joy
afraid failing practical exam,Fear
worried negative evaluation,Fear
professor recommended lifetime achievement,Joy
anxious lab experiment result,Fear
research project lost credibility,Sad
fell sick english day,Sad
got accepted academic pantheon,Joy
went lab practicals,Neutral
attendance rule ridiculous,Angry
attended academic workshop,Neutral
got highest mark exam,Joy
research finding completely dismissed,Sad
cried hard feel lonely,Sad
felt angered project rejection,Angry
got cut academic society,Sad
mess everything,Fear
scared competitive graduate school application,Fear
professor offered research position,Joy
scared ask help,Fear
classmate spread false rumor,Angry
worried maintaining gpa,Fear
got accepted cosmic academic consciousness,Joy
get recommendation letter professor,Sad
anxious peer collaboration,Fear
presentation went terribly wrong,Sad
nervous meeting deadline,Fear
worried clinical rotation performance,Fear
worried internship placement,Fear
partner rejecting,Sad
academic network providing valuable connection,Joy
professor gave unfair grade,Sad
submitted conference abstract,Neutral
friend nice,Joy
got funding international research trip,Joy
enjoyed cultural day campus,Joy
reviewed academic protocol,Neutral
study environment conducive,Neutral
seminar hall first floor,Neutral
afraid failing project milestone,Fear
worried professional networking,Fear
got sick unable go competition,Sad
assignment deadline next week,Neutral
debate,Joy
got enraged policy change,Angry
updated research proposal,Neutral
could eat canteen closed,Sad
research skill improving dramatically,Joy
campus wifi password changed,Neutral
attended professional development,Neutral
professor using new textbook,Neutral
delighted plan worked perfectly,Joy
thesis advisor completely unhelpful,Angry
discussion section meet twice weekly,Neutral
stand constant schedule change,Angry
submitted empirical paper,Neutral
peer review comment devastating,Sad
research proposal lack originality,Sad
got rejected prestigious fellowship,Sad
worried thesis topic approval,Fear
handle pressure,Fear
professor questioned analytical skill,Sad
professor teach three section,Neutral
reviewed scholarship criterion,Neutral
afraid letting team,Fear
felt sorry academic life,Sad
exam paper graded incorrectly,Angry
participated group discussion,Neutral
got perfect score comprehensive exam,Joy
failed mid exam,Sad
scared academic rejection,Fear
submitted assignment deadline,Neutral
dare insult,Angry
club outing highlight week,Joy
anxious writing skill,Fear
research finding influencing policy decision,Joy
afraid academically prepared,Fear
felt provoked research criticism,Angry
completed group work assignment,Neutral
lost note,Sad
photocopier fixed,Neutral
academic skill preparing future career,Joy
stopped relationship heart borken piece,Sad
missed bus campus today,Sad
internship application rejected,Sad
balance work study,Sad
win match,Sad
uploading slide,Neutral
passed mid exam successfully,Joy
worried gpa impact,Fear
missed partner living far away,Sad
attendace compulsory hate rule,Angry
bought new beautifull dress,Joy
frustration,Angry
professor offered partnership consulting work,Joy
got funding thesis research project,Joy
reviewed research finding,Neutral
scared independent research project,Fear
mad never explain expected,Angry
got four credit subject,Joy
danced together celebration,Joy
received academic excellence recognition,Joy
happy share lunch classmate,Joy
thesis defense scheduled poorly,Angry
class cancelled today,Neutral
best performer competiton,Joy
submitted reflection paper,Neutral
felt furious unfair deadline,Angry
work load high,Angry
felt one,Sad
beauiful clothes wear,Sad
felt angered peer behavior,Angry
thrilled see exam result,Joy
professor offered position strategic advisor,Joy
financial aid office lost paperwork,Angry
portal,Angry
anxious dissertation proposal,Fear
worried research funding,Fear
performed well mid exam,Sad
completed evaluative research,Neutral
missed last train home,Sad
academic advisor lost confidence,Sad
get feared presenation,Fear
annoyed angry,Angry
missed family,Sad
group leader rude,Angry
attended study skill workshop,Neutral
attendance compulsory undergraduate face end exam,Angry
worried thesis writing process,Fear
research project lost institutional support,Sad
classmate undermined progress,Angry
adapt university life,Fear
got accepted summer research fellowship,Joy
got funding research benefiting humanity,Joy
need check academic calendar,Neutral
got angry unexpected assignment change,Angry
best friend got university,Joy
hey,Neutral
angry university provide enough parking,Angry
assignment due next week,Neutral
got excluded department symposium,Sad
afraid ragging,Fear
classmate challenged ability unfairly,Angry
got rejected university recognition,Sad
anxious group presentation tomorrow,Fear
got rejected scholarly collaboration,Sad
instructor dismissed explanation abruptly,Angry
scared making mistake lab,Fear
failed important exam today,Sad
anxious understanding exam question,Fear
proud present project class,Joy
eating,Neutral
crush reject,Fear
scared public speaking class,Fear
attended methodology session,Neutral
course evaluation system biased,Angry
ok univeristy friend,Sad
could able,Fear
failed match,Sad
anxious meeting advisor,Fear
someone talking rudely,Angry
campus mental health resource insufficient,Angry
hate,Angry
completed data analysis,Neutral
aced chemistry exam today,Joy
academic work deemed completely inadequate,Sad
campus maintenance never fix anything,Angry
academic performance deteriorating rapidly,Sad
got frustrated conflicting feedback,Angry
paper got rejected student conference,Sad
classmate belittled idea repeatedly,Angry
played game common room,Joy
poem published literary magazine,Joy
afraid academic performance evaluation,Fear
study method proving completely inadequate,Sad
worried social anxiety class,Fear
laptop got stolen,Sad
professor assigns homework break period,Angry
submitting work tonight,Neutral
academic probation notice arrived today,Sad
worried upcoming job interview,Fear
keep giving u pointless assignment,Angry
excited start new project,Joy
environmental sustainability challenge,Joy
worried academic probation,Fear
angry roommate,Angry
felt betrayed group project partner,Angry
glad found helpful study group,Joy
scared voice shaky,Fear
landing teaching assistant position,Joy
professor mentioned work lecture,Joy
attended academic summit,Neutral
beat fight back,Angry
got frustrated project obstacle,Angry
got upset conflicting feedback,Angry
group meeting room,Neutral
fun walking around campus evening,Joy
got angry excluded team,Angry
got kicked honor program,Sad
attending workshop weekend,Neutral
professor questioned research ethic,Sad
hate exam near,Angry
academic mentor advocating success,Joy
due low attendance ineligible final exam,Sad
got accepted pinnacle academic society,Joy
got irritated lab partner mistake,Angry
got ineligible without knowing,Sad
friend talked behind back pretended like nothing happened,Angry
got rejected internship application,Sad
depatment health promotion,Neutral
classmate dismissed contribution,Angry
anxious balancing study personal life,Fear
group member sabotaged work,Angry
anxious comprehensive portfolio review,Fear
academic advisor doubt capability,Sad
feeling joyful vacation near,Joy
scolded lecturer today,Sad
reading research article,Neutral
completed archival research,Neutral
got irritated constant assignment change,Angry
classroom always noisy,Angry
attended scholarly presentation,Neutral
could attend inter faculty match,Sad
failed driving test third time,Sad
beat fight back,Angry
professor question choice major,Sad
got rejected graduate school,Sad
laboratory session went well,Neutral
reviewed research implication,Neutral
attended scholarly workshop,Neutral
afraid prepared enough,Fear
missed bus sport practice,Sad
ok univeristy friend,Sad
happy learn something new today,Joy
enjoyed football match class,Joy
fear thesis good enough,Fear
let know free,Neutral
batch top batch,Joy
good studying felt sad,Sad
professor return assignment promptly,Angry
met love univeristy,Joy
afford go home holiday,Sad
scholarship application denied,Sad
fear negative feedback lecturer,Fear
academic portfolio showcasing strong work,Joy
afraid public criticism,Fear
missed drama rehearsal due rain,Sad
research finding could make real impact,Joy
could go home christmas,Sad
classmate disrespected opinion,Angry
afraid group project failure,Fear
instructor unfairly compared student,Angry
got bad grade last semester,Sad
met rude friend univeristy,Sad
classmate sabotaged lab preparation,Angry
took part singing contest,Joy
anxious balancing work study,Fear
got funding transformative research program,Joy
fun planning next club event,Joy
like robot working without free time,Angry
afraid meeting deadline,Fear
completed research,Neutral
going faculty canteen,Neutral
graduate time,Fear
best friend transferred another university,Sad
academic poster competition prize,Joy
academic advisor seems disappointed,Sad
scared fieldwork assignment,Fear
cried feel sad today,Sad
updating presentation slide,Neutral
project got featured campus newsletter,Joy
submitted discussion board post,Neutral
lab session tomorrow morning,Neutral
academic advisor excited progress,Joy
mad student skip class still pas,Angry
happy share idea meeting,Joy
graduation day finally arrived successfully,Joy
completed interpretive study,Neutral
going refill water bottle,Neutral
check notice board later,Neutral
attended methodology workshop,Neutral
attended academic conference,Neutral
performed well mid exam,Sad
live want go home,Sad
research data got corrupted,Sad
scared missing important deadline,Fear
superviosr rejected research topic,Sad
scared academic criticism,Fear
study group want anymore,Sad
scared research presentation,Fear
actually hate academic preassure,Angry
got furious scholarship denial,Angry
scared speaking front class,Fear
worried academic recognition,Fear
angry university system sri lanka,Angry
scared project criticism,Fear
instructor ignored concern,Angry
updated course note,Neutral
attended academic roundtable,Neutral
donot like see face,Angry
work load much,Angry
got early admission law school,Joy
got furious lab evaluation error,Angry
give assignment freedom,Angry
got rejected special program,Sad
skip lunch due money,Sad
academic work criticized superficial,Sad
female,Neutral
financial aid significantly reduced,Sad
afraid course failure,Fear
got cut journal publication,Sad
coding project actually work,Joy
attendance compulsory exam fuck,Angry
wake every morninig,Neutral
got angry excluded team,Angry
professor gave harsh feedback project,Sad
peer evaluation score manipulated,Angry
hate blamed mistake,Angry
could submit lab report,Sad
timetable updated yesterday,Neutral
scared negative peer feedback,Fear
professor offered position think tank,Joy
completed action research,Neutral
library close early,Angry
professor offered position department head,Joy
missed deadline assignment submission,Sad
got lowest grade entire class,Sad
met funny guy university,Joy
summer internship application accepted,Joy
library full today,Neutral
academic mentor proud journey together,Joy
professor criticized writing severely,Sad
anxious comprehensive exam,Fear
campus facility modern,Neutral
scared public speaking failure,Fear
submitted technical report,Neutral
got lower grade expected final,Sad
academic performance reached new low,Sad
fun working group task class,Joy
went ruwanweliseya yesterday,Neutral
afford study abroad program,Sad
enjoyed chatting roommate,Joy
got accepted exclusive doctoral program,Joy
anxious presentation timing,Fear
checking grade online,Neutral
felt provoked administrative issue,Angry
perform well final exam,Sad
participated class survey,Neutral
submitted political study,Neutral
got disappointing result standardized test,Sad
research finding illuminating universal truth,Joy
hate rude senior,Angry
completed course evaluation,Neutral
timetable last week,Neutral
water supply hour,Angry
got furious negative peer review,Angry
lost note,Sad
entrepreneurship challenge,Joy
research finding contributing field knowledge,Joy
academic mentor celebrating historic achievement,Joy
afraid failing internship,Fear
walking admin office,Neutral
senior disturbing u,Angry
got angry lack academic support,Angry
professor offered position program director,Joy
campus constantly cutting,Angry
afraid failing final exam,Fear
canteen rice curry today,Neutral
worried submitting time,Fear
academic work lack sufficient depth,Sad
worried submitting late assignment,Fear
missed important lab practical,Sad
professor accommodate learning difference,Angry
scared making mistake lab,Fear
cried feel sad today,Sad
like robot working without free time,Angry
classmate took credit group work,Angry
made lifelong friend dormitory,Joy
afraid public speaking assignment,Fear
got recognition academic department,Joy
scared meeting expectation,Fear
professor refused involvement,Sad
completed group presentation prep,Neutral
anxious fellowship application,Fear
sure graduate time,Fear
boyfriend talking another girl,Angry
attended peer mentoring,Neutral
professor show late every class,Angry
worried thesis review,Fear
campus parking permit expires soon,Neutral
unity among batch mate,Angry
research finding getting attention expert,Joy
nervous oral defense,Fear
reviewed syllabus requirement,Neutral
got excluded department honor,Sad
nervous exam performance,Fear
lecturer cutoff mark get expect result,Angry
cope academic pressure,Sad
professor recommended leadership role,Joy
professor expressed disappointment openly,Sad
happy progress,Joy
academic achievement opening new door,Joy
attended thesis defense,Neutral
enjoying homies,Joy
professor offered position institute fellow,Joy
professor said work groundbreaking,Joy
academic mentor introducing opportunity,Joy
scared smart enough program,Fear
hate work load much handle,Angry
nervous viva panel,Fear
felt mocked discussion session,Angry
professor said thesis publication ready,Joy
got excluded department activity,Sad
professor praised innovative solution,Joy
experiment failed month work,Sad
noisy roomates hate,Angry
nervous project presentation,Fear
got funding research changing humanity,Joy
got scared,Fear
professor recommended university chair,Joy
got cut competitive academic program,Sad
felt provoked sarcasm,Angry
worried family financial struggle,Fear
got frustrated repeated failure,Angry
quiz next monday,Neutral
got accepted competitive summer program,Joy
handle course workload,Fear
professor respond email,Sad
got funding groundbreaking research initiative,Joy
attended peer review session,Neutral
got selected international research team,Joy
academic goal require complete reassessment,Sad
smiling whole day today,Joy
got accepted prestigious summer program,Joy
scared submit incomplete assignment,Fear
got invitation join research consortium,Joy
hostel internet night,Sad
secure research position,Fear
photocopy shop closed,Neutral
submitted assignment time,Neutral
scared professional school admission,Fear
professor assigns group work unfairly,Angry
scholarship get revoked,Fear
felt enraged academic injustice,Angry
much work time even self study something new,Angry
done class,Neutral
lovely evening campus,Joy
failed four credit subject,Sad
lecturer sometime annoying,Angry
found affordable textbook online,Joy
scared participate discussion,Fear
taking note lecture,Neutral
scared academic mistake,Fear
worried losing scholarship,Fear
professor ignored question class,Angry
get ticket graduation ceremony,Sad
laughed much today,Joy
got slected th year,Joy
instructor ignored email repeatedly,Angry
afraid forget important point,Fear
joining group meeting,Neutral
professor said ready advanced research,Joy
joined new student organization,Neutral
campus dining plan option expensive,Angry
hate univeristy culture,Angry
failed midterm exam despite studying hard,Sad
worried course outcome,Fear
borrowed book library,Neutral
professor invited academic conference,Joy
library close pm tonight,Neutral
residence hall rule way strict,Angry
instructor questioned research integrity,Angry
friend absent today,Sad
course material outdated,Angry
campus dirty nobody care,Angry
landed amazing internship opportunity,Joy
completed longitudinal analysis,Neutral
got rejected academic program,Sad
met mom,Joy
professor posted new slide online,Neutral
could buy tea canteen,Sad
study progress steady,Neutral
professor offered position research lab,Joy
nervous faculty judgment,Fear
anxious qualifying examination,Fear
nervous meeting expectation,Fear
got low grade every exam,Sad
lab assistant unprofessional,Angry
completed environmental research,Neutral
lab computer updated,Neutral
reviewed conference proceeding,Neutral
academic paper got positive peer review,Joy
campus bookstore overcharge everything,Angry
completed normative research,Neutral
registration system crashed enrollment,Angry
course syllabus keep changing,Angry
campus event poorly organized,Angry
got rejected scholarly conference,Sad
study habit proving ineffective repeatedly,Sad
attended research seminar,Neutral
lecturer shouted front class,Sad
completed quantitative analysis,Neutral
got internship,Joy
clothes missing hostel,Angry
nervous presenting class,Fear
course website never updated,Angry
anxious fellowship application,Fear
noisy classroom disturbed,Angry
documentary film festival award,Joy
worried failing prerequisite,Fear
professor invited establish new program,Joy
friend teased rural accent,Sad
course prerequisite clearly stated,Angry
argument friend,Joy
terrified tomorrow final exam,Fear
willl meet lecture,Neutral
always last complete task,Fear
research collaboration creating better world,Joy
attended scholarly debate,Neutral
power cut study period time,Angry
got dream job offer graduation,Joy
felt provoked group disagreement,Angry
met nice friend univeristiy,Joy
lost research note right submission,Sad
submitted assignment time,Neutral
reviewed peer feedback,Neutral
went batch meeting,Neutral
worried student loan debt,Fear
stress gpa,Fear
forgot id card room,Neutral
internet slow even browse,Angry
stand ignored classmate,Angry
research data accidentally deleted,Angry
thesis proposal completely dismissed,Sad
afraid asking professor help,Fear
worried viva location,Fear
sick unable face mid exam,Sad
drama rehearsal entertaining,Joy
roommate keep fighting,Sad
instructor showed bias grading,Angry
campus shuttle schedule posted,Neutral
classmate ignored suggestion,Angry
worried research project deadline,Fear
academic advisor seems uninterested,Sad
anxious backup plan,Fear
found subject truly inspires,Joy
got blamed group project failure,Angry
get teaching assistant position,Sad
scared present front stranger,Fear
worried research deadline,Fear
every viva nicely,Joy
class timing unreasonable,Angry
good enough,Fear
completed statistical analysis,Neutral
participated group project meeting,Neutral
lecturer always blaming without valid reason,Angry
worried course load,Fear
get enough support supervisor,Sad
lost first class,Sad
anxious qualifying examination,Fear
academic achievement feel meaningless,Sad
hostel joke,Angry
parent proud academic achievement,Joy
perfect attendance award semester,Joy
instructor ignored project concern,Angry
attended lab session,Neutral
scared graduate school interview,Fear
professor questioned research method,Sad
applied summer internship,Neutral
missed everything,Sad
water supply hour,Angry
terrified tomorrow final exam,Fear
completed project outline,Neutral
academic conference accepted abstract,Joy
waiting near main gate,Neutral
lecturer show ontime,Angry
study space available,Neutral
one care project,Angry
class quiz competition,Joy
received encouraging email department head,Joy
afraid academic competition,Fear
need update student information,Neutral
app reached downloads,Joy
secure research position,Fear
assignment portal,Neutral
academic goal completely shattered,Sad
updated linkedin profile,Neutral
met love univeristy,Joy
instructor ignored email repeatedly,Angry
finished morning lecture,Neutral
completed economic research,Neutral
going stationery shop,Neutral
lab session tomorrow,Neutral
completed laboratory study,Neutral
campus shuttle run every minute,Neutral
wonderful moment art workshop,Joy
scared research failure,Fear
fear fail practical exam,Fear
got rejected leadership program,Sad
completed peer review assignment,Neutral
got mad friend,Angry
family attend graduation,Sad
instructor dismissed concern publicly,Angry
professor questioned research integrity,Sad
research funding cut without notice,Angry
worried research project deadline,Fear
nice time decorating event hall,Joy
got accepted competitive residency,Joy
assignment deadline next week,Neutral
academic work lack originality according professor,Sad
finished project early,Joy
academic presentation skill improving rapidly,Joy
reviewed validity measure,Neutral
failed important subject,Sad
never listen,Angry
groupmates didnot contribute,Angry
got pas exam,Joy
meeting study group pm,Neutral
classmate misrepresented work,Angry
never fix broken air conditioning,Angry
reviewed analytical method,Neutral
get lab wanted,Sad
presentation scheduled friday,Neutral
missed viva illness,Sad
got recognition community service work,Joy
attended academic workshop,Neutral
working problem set,Neutral
got selected highest academic honor,Joy
submitted social research,Neutral
need review lecture note,Neutral
got funding independent research project,Joy
felt provoked peer behavior,Angry
missed internship opportunity really hoping,Sad
social impact project got funded,Joy
worried final exam result,Fear
afraid poor lab result,Fear
scared calculus placement test,Fear
group member irresponsible,Angry
sustainability innovation award,Joy
complete degree requirement time,Sad
afraid upcoming exam,Fear
instructor publicly criticized work,Angry
got cut research publication,Sad
grade low past semester,Sad
worried meeting academic expectation,Fear
study session productive,Neutral
great time univeristy,Joy
afraid failing major assessment,Fear
scared comprehensive exam failure,Fear
scared ignored group work,Fear
never provide enough resource,Angry
biased,Angry
attended study session,Neutral
got cut research publication,Sad
hate always compare student unfairly,Angry
got lower expected mcat score,Sad
mental health really struggling,Sad
picnic campus garden fun,Joy
got cut scholarly presentation,Sad
happy today birthday,Joy
attended academic forum,Neutral
got rejected affair,Sad
eat best fried rice,Joy
scared senior,Fear
roommate conflict making dorm life difficult,Sad
get medical school,Fear
got selected club president,Joy
today rice curry eat,Neutral
got rejected graduate assistantship,Sad
instructor unfairly compared others,Angry
class attendance mandatory,Neutral
felt angered group meeting conflict,Angry
sometimes bad everything,Sad
heading lecture hall,Neutral
felt angered peer plagiarism,Angry
first year student,Neutral
project report rejected panel,Sad
scared comprehensive examination,Fear
campus internet slow today,Neutral
friend wait canteen,Sad
scared calculus placement test,Fear
charging laptop,Neutral
submitted policy research,Neutral
dance performance received standing ovation,Joy
got irritated research resource shortage,Angry
research approach deemed fundamentally flawed,Sad
went boc bank yesterday,Neutral
fell front canteen,Sad
anxious roommate compatibility,Fear
disappoint parent,Fear
afriad rude senior,Fear
academic support service inadequate,Angry
attended scholarly conference,Neutral
annoyed right,Angry
scared smart enough program,Fear
afraid rejection fellowship,Fear
celebrated finishing assignment,Joy
instructor questioned competency,Angry
fear technology working presentation,Fear
presentation tommorow,Fear
scared challenge professor,Fear
mad one take responsibility,Angry
submitted weekly journal,Neutral
glad teach friend new skill,Joy
felt furious research criticism,Angry
angry raggers,Angry
research finding informing public policy,Joy
academic journey exceeding wildest dream,Joy
favorite professor invited collaborate,Joy
professor seem like idea,Sad
scared living,Fear
campus climate control system malfunction,Angry
got best result exam,Joy
attended academic support session,Neutral
anxious criticism peer,Fear
could pay library fine,Sad
bought new pen,Neutral
submitted form office,Neutral
reviewed conceptual framework,Neutral
completed basic research study,Neutral
felt good finishing viva,Joy
physical deparment,Neutral
got expect result exam,Joy
updated course schedule,Neutral
proud debate performance,Joy
scared wonot remember exam formula,Fear
got low mark continuous assessment,Sad
fear speaking front stranger,Fear
going graduate next month,Joy
completing daily reading list,Neutral
missed career guidance workshop,Sad
mobile app got featured tech news,Joy
academic achievement inspiring countless others,Joy
completed online module,Neutral
exam saddest situation,Sad
send mail leacturer,Neutral
fear able finish exam,Fear
library lunch,Neutral
completed bibliographic research,Neutral
academic achievement inspiring infinite possibility,Joy
class size student,Neutral
campus tour start noon,Neutral
missed lecture today,Sad
scared peer criticism,Fear
got angry scholarship denial,Angry
professor offered teaching assistant position,Joy
got low grade,Sad
study group member plagiarized work,Angry
angry disorganized whole system,Angry
repeat four subject,Sad
classmate belittled idea repeatedly,Angry
handle course workload,Fear
attended information session,Neutral
attended academic symposium,Neutral
study room reserved tonight,Neutral
passed every exam first attempt happy,Joy
academic mentor abandoned supervision,Sad
worried comparing others,Fear
lost academic scholarship due grade,Sad
reviewed data quality,Neutral
felt provoked department decision,Angry
anxious fitting,Fear
happy today,Joy
got excluded research conference,Sad
someone talking rudely,Angry
hate way group member slack,Angry
study abroad application denied,Sad
got invitation transcend academic boundary,Joy
anxious living away family,Fear
today leatures,Neutral
laughed lot break today,Joy
went see doctor,Neutral
enjoyed wonderful lunch friend today,Joy
got upset unfair grading curve,Angry
professor respect student opinion,Angry
anxious roommate compatibility,Fear
study guide cover main topic,Neutral
came unscheduled lecture informed,Angry
professor refused provide feedback,Angry
reviewed course objective,Neutral
felt provoked peer competition,Angry
academic goal require complete abandonment,Sad
felt cheated exam scoring,Angry
professor refused write recommendation letter,Sad
roommate,Neutral
design architecture competition,Joy
power cut ruined online lecture,Sad
fear forgetting research data,Fear
finally understood calculus concept,Joy
bus arriving minute,Neutral
anxious unclear instruction,Fear
projector always stop working lecture,Angry
take nap lecture,Neutral
everything always chaotic,Angry
assignment topic interesting,Neutral
campus bookstore sale,Neutral
professor criticized theoretical framework,Sad
department biology department,Neutral
frustrated nothing ever get fixed,Angry
reviewed research outcome,Neutral
computing department,Neutral
scared judged senior,Fear
professor discriminates certain student,Angry
felt enraged lab partner mistake,Angry
worried research method,Fear
instructor showed bias grading,Angry
lecturer refused independent study request,Sad
sitting near sport ground,Neutral
work project later,Neutral
professor invited paper,Joy
finally mastered differential equation,Joy
weather nice morning,Neutral
laptop lenovo,Neutral
cancel trip,Sad
scared answer unexpected question,Fear
professor loved presentation,Joy
attended scholarly symposium,Neutral
academic achievement inspiring next generation,Joy
classmate ridiculed finding,Angry
professor recommended visiting scholar position,Joy
scared competitive graduate school application,Fear
lift working today,Neutral
campus event calendar updated,Neutral
failed meet professor expectation,Sad
submitted conference paper,Neutral
got angry mentor ignored request,Angry
got accepted dream program,Joy
got harsh comment peer evaluation,Sad
worried upcoming job interview,Fear
scholarship reduced without explanation,Angry
monkey everywhere,Neutral
classmate disrespected contribution,Angry
got accepted medical school,Joy
fun shopping trip classmate,Joy
worried project submission,Fear
lab partner hel,Angry
tomorrow exam manage lesson today,Fear
hi guy,Neutral
submitted working paper,Neutral
studying physical department,Neutral
got selected final match,Joy
argument classmate escalated quickly,Angry
got upset unfair participation mark,Angry
professor criticized writing severely,Angry
failed practical exam miserably,Sad
academic mentor belief research,Joy
understand advanced mathematics,Sad
scared ask question lecture,Fear
afraid academically prepared,Fear
fail licensing exam,Fear
grade recorded incorrectly,Angry
scholarship application got approved,Joy
worried time management skill,Fear
academic achievement attracting medium attention,Joy
attended academic symposium,Neutral
need complete course evaluation,Neutral
fear poor presentation skill,Fear
classmate challenged methodology aggressively,Angry
professor grading assignment,Neutral
get competitive course,Sad
academic advising system broken,Angry
got highest grade organic chemistry,Joy
meeting main hall,Neutral
reviewed research methodology,Neutral
feel proud latest assignment,Joy
need return library book,Neutral
worried career path uncertainty,Fear
cired lot yesterday,Sad
anxious future job prospect,Fear
afraid ask question class,Fear
handle advanced coursework,Fear
attended scholarly symposium,Neutral
professor showed enthusiasm project,Sad
sport practice ended good game,Joy
classmate undermined progress,Angry
scared lose concentration,Fear
redo work,Angry
grade appeal denied unfairly,Angry
feel lonely,Sad
part time job,Neutral
got furious project rejection,Angry
research methodology heavily criticized,Sad
lab equipment reservation cancelled,Angry
person cunning,Angry
classmate disrespected opinion,Angry
attended scholarly workshop,Neutral
attended research conference,Neutral
submitted journal article,Neutral
completed experimental design,Neutral
got irritated unfair deadline,Angry
got failed credit subject,Sad
scared ask extension,Fear
enjoyed seminar guest speaker,Joy
lost important note final exam,Sad
need rest,Neutral
performance earned critic acclaim,Joy
worried academic conference presentation,Fear
missed bus exam,Sad
taking break studying,Neutral
attended interdisciplinary seminar,Neutral
professor graded exam unfairly,Angry
afraid failing statistic course,Fear
scared peer judgment,Fear
afraid disappointing peer,Fear
afraid asking professor help,Fear
registered new semester,Neutral
lost patience academic meeting,Angry
professor give impossible assignment,Angry
farewell party much fun,Joy
professor encourages question,Neutral
workd hard archieved target,Sad
reviewed theoretical concept,Neutral
repeat four subject,Sad
got selected academic leadership program,Joy
classmate sabotaged presentation,Angry
got angry scholarship rejection,Angry
could afford study tour,Sad
professor unfairly penalized submission,Angry
enjoyed laughter cafeteria,Joy
rajaratauniveristy,Neutral
got invited honor society,Joy
reviewed research impact,Neutral
scared oral examination,Fear
got rejected honor society,Sad
cat got died,Sad
research collaboration winning global recognition,Joy
completed methodical analysis,Neutral
really happy project got approved,Joy
completed online discussion,Neutral
academic mentor proud development,Joy
meet language requirement,Sad
research methodology inspiring innovation,Joy
submitted theoretical paper,Neutral
study group disbanded due conflict,Sad
worried time management skill,Fear
got excluded research opportunity,Sad
missed cultural night dance practice,Sad
often face great difficulty,Angry
professor criticized fundamental understanding,Sad
worried forgetting content,Fear
could go batch trip,Sad
kill,Angry
could pay lab chemical,Sad
